State,COVID-19 Deaths,Age Group,Population,COVID-19 Deaths per Million
Alabama,0,1-4 years,236464,0
Alabama,0,15-24 years,640900,0
Alabama,0,25-34 years,643540,0
Alabama,16,35-44 years,592302,27.01
Alabama,69,45-54 years,627458,109.97
Alabama,0,5-14 years,608395,0
Alabama,144,55-64 years,655179,219.79
Alabama,258,65-74 years,487721,528.99
Alabama,273,75-84 years,249308,1095.03
Alabama,254,85 years and over,89865,2826.46
Alabama,0,Under 1 year,56739,0
Alaska,0,1-4 years,42450,0
Alaska,0,15-24 years,99263,0
Alaska,0,25-34 years,118865,0
Alaska,0,35-44 years,94650,0
Alaska,0,45-54 years,88117,0
Alaska,0,5-14 years,101815,0
Alaska,0,55-64 years,94602,0
Alaska,0,65-74 years,58555,0
Alaska,0,75-84 years,21603,0
Alaska,0,85 years and over,6853,0
Alaska,0,Under 1 year,10665,0
Arizona,0,1-4 years,352383,0
Arizona,0,15-24 years,965970,0
Arizona,26,25-34 years,985845,26.37
Arizona,36,35-44 years,880431,40.89
Arizona,93,45-54 years,850790,109.31
Arizona,0,5-14 years,928147,0
Arizona,200,55-64 years,866277,230.87
Arizona,304,65-74 years,726162,418.64
Arizona,429,75-84 years,389813,1100.53
Arizona,450,85 years and over,142275,3162.89
Arizona,0,Under 1 year,83553,0
Arkansas,0,1-4 years,153442,0
Arkansas,0,15-24 years,399345,0
Arkansas,0,25-34 years,396588,0
Arkansas,0,35-44 years,368518,0
Arkansas,0,45-54 years,368667,0
Arkansas,0,5-14 years,394070,0
Arkansas,38,55-64 years,384467,98.84
Arkansas,28,65-74 years,296011,94.59
Arkansas,68,75-84 years,156799,433.68
Arkansas,69,85 years and over,59017,1169.15
Arkansas,0,Under 1 year,36901,0
California,0,1-4 years,1963980,0
California,0,15-24 years,5257175,0
California,33,25-34 years,6043799,5.46
California,145,35-44 years,5255671,27.59
California,370,45-54 years,5071974,72.95
California,0,5-14 years,5036875,0
California,757,55-64 years,4781226,158.33
California,1185,65-74 years,3285414,360.69
California,1432,75-84 years,1640026,873.16
California,1864,85 years and over,743585,2506.77
California,0,Under 1 year,477320,0
Colorado,0,1-4 years,270729,0
Colorado,0,15-24 years,741878,0
Colorado,0,25-34 years,894422,0
Colorado,10,35-44 years,780079,12.82
Colorado,59,45-54 years,710171,83.08
Colorado,0,5-14 years,713331,0
Colorado,135,55-64 years,710600,189.98
Colorado,299,65-74 years,500798,597.05
Colorado,440,75-84 years,219067,2008.52
Colorado,586,85 years and over,88364,6631.66
Colorado,0,Under 1 year,66125,0
Connecticut,0,1-4 years,148021,0
Connecticut,0,15-24 years,485020,0
Connecticut,0,25-34 years,445390,0
Connecticut,13,35-44 years,423336,30.71
Connecticut,82,45-54 years,494951,165.67
Connecticut,0,5-14 years,413908,0
Connecticut,305,55-64 years,511805,595.93
Connecticut,660,65-74 years,343570,1921.01
Connecticut,1004,75-84 years,179680,5587.71
Connecticut,1729,85 years and over,91871,18819.87
Connecticut,0,Under 1 year,35113,0
Delaware,0,1-4 years,44166,0
Delaware,0,15-24 years,118712,0
Delaware,0,25-34 years,129063,0
Delaware,0,35-44 years,111468,0
Delaware,24,45-54 years,122491,195.93
Delaware,0,5-14 years,113901,0
Delaware,43,55-64 years,135639,317.02
Delaware,96,65-74 years,108194,887.3
Delaware,126,75-84 years,53055,2374.89
Delaware,182,85 years and over,19837,9174.77
Delaware,0,Under 1 year,10645,0
District of Columbia,0,1-4 years,35747,0
District of Columbia,0,15-24 years,89824,0
District of Columbia,0,25-34 years,164087,0
District of Columbia,10,35-44 years,105674,94.63
District of Columbia,49,45-54 years,75453,649.41
District of Columbia,0,5-14 years,66195,0
District of Columbia,88,55-64 years,70302,1251.74
District of Columbia,155,65-74 years,49104,3156.57
District of Columbia,121,75-84 years,24046,5032.02
District of Columbia,118,85 years and over,12153,9709.54
District of Columbia,0,Under 1 year,9870,0
Florida,0,1-4 years,921143,0
Florida,0,15-24 years,2476245,0
Florida,0,25-34 years,2788255,0
Florida,53,35-44 years,2568764,20.63
Florida,128,45-54 years,2746372,46.61
Florida,0,5-14 years,2363834,0
Florida,287,55-64 years,2854601,100.54
Florida,672,65-74 years,2397902,280.24
Florida,935,75-84 years,1388750,673.27
Florida,1106,85 years and over,571419,1935.53
Florida,0,Under 1 year,222040,0
Georgia,0,1-4 years,530462,0
Georgia,0,15-24 years,1445022,0
Georgia,17,25-34 years,1473246,11.54
Georgia,28,35-44 years,1372602,20.4
Georgia,136,45-54 years,1411438,96.36
Georgia,0,5-14 years,1413662,0
Georgia,286,55-64 years,1285682,222.45
Georgia,536,65-74 years,895419,598.6
Georgia,631,75-84 years,418357,1508.28
Georgia,584,85 years and over,146633,3982.73
Georgia,0,Under 1 year,126952,0
Hawaii,0,1-4 years,70480,0
Hawaii,0,15-24 years,168130,0
Hawaii,0,25-34 years,203006,0
Hawaii,0,35-44 years,180510,0
Hawaii,0,45-54 years,170624,0
Hawaii,0,5-14 years,168823,0
Hawaii,0,55-64 years,180727,0
Hawaii,0,65-74 years,148933,0
Hawaii,0,75-84 years,70990,0
Hawaii,0,85 years and over,41044,0
Hawaii,0,Under 1 year,17224,0
Idaho,0,1-4 years,93991,0
Idaho,0,15-24 years,239400,0
Idaho,0,25-34 years,231382,0
Idaho,0,35-44 years,220029,0
Idaho,0,45-54 years,199925,0
Idaho,0,5-14 years,254001,0
Idaho,0,55-64 years,214850,0
Idaho,13,65-74 years,168241,77.27
Idaho,28,75-84 years,80622,347.3
