state,date,latest_date,total_cases,total_deaths
Alabama,2020-03-31,2020-03-31,6129,42
Alabama,2020-04-30,2020-04-30,125166,4044
Alabama,2020-05-31,2020-05-19,187730,7568
Alaska,2020-03-31,2020-03-31,851,8
Alaska,2020-04-30,2020-04-30,8231,173
Alaska,2020-05-31,2020-05-19,7209,147
Arizona,2020-01-31,2020-01-31,6,0
Arizona,2020-02-29,2020-02-29,29,0
Arizona,2020-03-31,2020-03-31,6830,85
Arizona,2020-04-30,2020-04-30,128668,4848
Arizona,2020-05-31,2020-05-19,212886,9985
Arkansas,2020-03-31,2020-03-31,4423,51
Arkansas,2020-04-30,2020-04-30,53626,1011
Arkansas,2020-05-31,2020-05-19,76263,1697
California,2020-01-31,2020-01-31,14,0
California,2020-02-29,2020-02-29,285,0
California,2020-03-31,2020-03-31,55413,1113
California,2020-04-30,2020-04-30,865590,30174
California,2020-05-31,2020-05-19,1290154,52722
Colorado,2020-03-31,2020-03-31,18633,340
Colorado,2020-04-30,2020-04-30,264048,11717
Colorado,2020-05-31,2020-05-19,366425,19177
Connecticut,2020-03-31,2020-03-31,14606,283
Connecticut,2020-04-30,2020-04-30,467157,29760
Connecticut,2020-05-31,2020-05-19,634889,56035
Delaware,2020-03-31,2020-03-31,1887,31
Delaware,2020-04-30,2020-04-30,67480,1840
Delaware,2020-05-31,2020-05-19,122352,4343
District of Columbia,2020-03-31,2020-03-31,2923,41
District of Columbia,2020-04-30,2020-04-30,70950,2651
District of Columbia,2020-05-31,2020-05-19,116285,6034
Florida,2020-03-31,2020-03-31,35595,489
Florida,2020-04-30,2020-04-30,671169,19495
Florida,2020-05-31,2020-05-19,773519,32271
Georgia,2020-03-31,2020-03-31,22159,702
Georgia,2020-04-30,2020-04-30,453517,18051
Georgia,2020-05-31,2020-05-19,608379,26669
Guam,2020-03-31,2020-03-31,594,11
Guam,2020-04-30,2020-04-30,20795,156
Guam,2020-05-31,2020-05-19,21280,114
Hawaii,2020-03-31,2020-03-31,1474,1
Hawaii,2020-04-30,2020-04-30,14989,273
Hawaii,2020-05-31,2020-05-19,11803,321
Idaho,2020-03-31,2020-03-31,2360,34
Idaho,2020-04-30,2020-04-30,44850,1098
Idaho,2020-05-31,2020-05-19,42783,1305
Illinois,2020-01-31,2020-01-31,10,0
Illinois,2020-02-29,2020-02-29,59,0
Illinois,2020-03-31,2020-03-31,33617,448
Illinois,2020-04-30,2020-04-30,802382,32641
Illinois,2020-05-31,2020-05-19,1479991,65289
Indiana,2020-03-31,2020-03-31,10086,245
Indiana,2020-04-30,2020-04-30,290474,14509
Indiana,2020-05-31,2020-05-19,464234,28631
Iowa,2020-03-31,2020-03-31,2794,26
Iowa,2020-04-30,2020-04-30,83729,1967
Iowa,2020-05-31,2020-05-19,227585,5073
Kansas,2020-03-31,2020-03-31,2408,60
Kansas,2020-04-30,2020-04-30,55554,2239
Kansas,2020-05-31,2020-05-19,129208,3230
Kentucky,2020-03-31,2020-03-31,3437,84
Kentucky,2020-04-30,2020-04-30,74974,3896
Kentucky,2020-05-31,2020-05-19,125141,5906
Louisiana,2020-03-31,2020-03-31,28926,1139
Louisiana,2020-04-30,2020-04-30,625160,32409
